word;happiness_rank;happiness_average;happiness_standard_deviation;twitter_rank;google_rank;nyt_rank;lyrics_rank
offense;9473;3.56;15.274;--;--;4255;--
piss;9474;3.56;17.280;3232;--;--;2615
protest;9475;3.56;14.591;4807;3917;2790;--
runaway;9476;3.56;16.801;--;--;--;3034
shut;9477;3.56;10.333;1123;3491;3069;745
sorely;9478;3.56;12.803;--;--;3300;--
dire;9479;3.55;19.902;--;--;--;3700
stains;9480;3.55;14.728;--;--;--;3978
taxation;9481;3.55;18.491;--;4501;--;--
flee;9482;3.54;10.907;--;--;--;4262
haunted;9483;3.54;16.368;--;--;--;3341
bug;9484;3.54;13.734;2875;--;--;3520
caught;9485;3.54;17.867;1266;2094;2235;530
chained;9486;3.54;19.505;--;--;--;4457
crushed;9487;3.54;16.686;--;--;--;3693
despise;9488;3.54;20.325;--;--;--;4497
dispute;9489;3.54;17.286;--;3666;1935;--
expensive;9490;3.54;17.637;2477;3638;2331;4989
forsaken;9491;3.54;19.400;--;--;--;4903
hospitals;9492;3.54;15.677;--;4543;2151;--
owe;9493;3.54;15.147;4141;--;--;2163
poor's;9494;3.54;14.172;--;--;--;--
rough;9495;3.54;14.458;1741;3157;--;1317
shock;9496;3.54;16.189;3618;3155;--;1986
slug;9497;3.54;13.734;--;--;--;3749
without;9498;3.54;11.104;404;130;294;195
drunken;9499;3.53;20.011;--;--;--;4657
missin;9500;3.53;14.157;--;--;--;4615
separation;9501;3.53;18.155;--;2552;--;--
spite;9502;3.53;18.269;--;2214;--;3162
addicted;9503;3.52;21.019;1319;--;--;2741
apart;9504;3.52;13.438;2210;1719;3284;520
fallen;9505;3.52;14.177;4023;2853;3831;1191
suspected;9506;3.52;11.648;--;4399;4032;--
suspicion;9507;3.52;15.016;--;4653;--;--
teardrops;9508;3.52;17.290;--;--;--;3639
tomb;9509;3.52;20.428;--;--;--;4611
ugh;9510;3.52;15.016;559;--;--;4761
warned;9511;3.52;13.130;--;--;2687;4274
untrue;9512;3.51;13.090;--;--;--;3856
casket;9513;3.5;21.020;--;--;--;4381
dope;9514;3.5;17.053;2646;--;--;1039
foe;9515;3.5;17.053;--;--;--;3976
hospital;9516;3.5;16.194;803;1357;415;4555
paranoid;9517;3.5;18.434;--;--;--;4298
snake;9518;3.5;16.690;4003;--;--;2464
struck;9519;3.5;14.033;--;2419;2347;3121
deficiency;9520;3.49;16.971;--;4224;--;--
pressures;9521;3.49;17.574;--;3969;--;--
cant;9522;3.48;11.110;368;--;--;676
inmates;9523;3.48;20.227;--;--;4528;--
no;9524;3.48;12.974;45;44;62;24
opponents;9525;3.48;10.925;--;--;2715;--
opposition;9526;3.48;12.329;--;1624;1480;--
sucked;9527;3.48;18.543;3344;--;--;3970
tobacco;9528;3.48;21.782;--;4037;2985;--
unlikely;9529;3.48;13.130;--;4429;2740;--
zombie;9530;3.48;18.210;3309;--;--;--
screams;9531;3.48;20.420;--;--;--;1991
sinking;9532;3.48;17.503;--;--;--;2082
swollen;9533;3.48;18.334;--;--;--;4997
deceive;9534;3.47;20.114;--;--;--;3985
monsters;9535;3.47;16.845;--;--;--;4925
urine;9536;3.47;16.721;--;4119;--;--
chaos;9537;3.46;17.867;3099;--;--;2670
creepy;9538;3.46;16.928;2521;--;--;--
fee;9539;3.46;12.969;4718;4374;2351;--
insanity;9540;3.46;21.779;--;--;--;3408
isolated;9541;3.46;18.206;--;2714;--;--
late;9542;3.46;11.643;427;564;138;408
misspelled;9543;3.46;13.584;--;--;1047;--
misstated;9544;3.46;10.144;--;--;176;--
misunderstood;9545;3.46;17.049;--;--;--;4086
monster;9546;3.46;19.189;2279;--;--;2379
refuse;9547;3.46;0.9304;3906;3994;--;2056
shoot;9548;3.46;16.686;1259;--;4950;840
sting;9549;3.46;17.404;--;--;--;3354
thorn;9550;3.46;15.677;--;--;--;4994
wreck;9551;3.46;17.979;--;--;--;2153
fright;9552;3.45;18.378;--;--;--;4366
radiation;9553;3.45;22.827;--;2847;--;--
